Property,GCN,GAT,SAGE,GIN,SphereNet,SE3Transformer,Equiformer(PC), Equiformer(Adj_Mat)
mu_D,0.878315,0.851215,0.895593,0.688619,0.539201,0.773790,0.679509,0.147909
alpha_Ang3,0.521135,0.523779,0.485769,0.401692,0.097320,0.243589,0.194406,0.070244
epsilon_HOMO_eV,10.934590,9.954527,9.272482,5.182900,3.984458,7.830211,6.433200,2.690701
epsilon_LUMO_eV,19.065544,17.372047,15.081338,6.812245,6.103615,14.151286,11.187860,3.323798
delta_e_eV,21.122620,20.233049,18.784225,8.334198,7.424369,16.603716,12.786814,3.987443
R2_Ang2,48.591305,48.211937,43.993710,28.623323,6.878399,17.451529,12.003957,2.898465
ZPVE_eV,5.157678,5.603851,5.024879,4.840450,1.181573,2.198965,1.553257,0.746865
U0_eV,11393.735352,11483.636719,11378.333008,9948.289062,2000.339355,4266.491211,2806.452393,842.982178
U_eV,11463.122070,11420.610352,11335.561523,10079.074219,2007.811646,4166.063965,2757.754883,835.940735
H_eV,11488.010742,11461.894531,11430.226562,10014.555664,2072.053955,3997.019043,2758.126709,831.924866
G_eV,11491.838867,11453.624023,11441.843750,10086.378906,2051.675781,3983.300049,2793.149902,820.872131
cv_cal_molK,2.021162,1.899236,1.649361,1.319056,0.273133,0.879877,0.546273,0.192104
U0_atom_eV,3.108253,3.111857,3.037567,2.611849,0.598044,1.339425,0.944074,0.274007
U_atom_eV,84.751961,85.131241,83.345078,71.329872,16.502838,34.440639,25.333807,7.597426
H_atom_eV,85.360977,85.396988,83.504082,71.640053,16.416496,36.076744,26.707947,7.640733
G_atom_eV,78.605324,78.396988,76.688210,66.328369,15.406476,33.458336,24.593805,7.218210
A_GHz,19.059845,19.127855,22.092354,63.940247,144.586136,86.104469,59.732170,34.230137
B_GHz,0.324996,0.321347,0.306413,0.226330,0.123329,0.263381,0.138764,0.089139
C_GHz,0.223644,0.223565,0.200753,0.147541,0.069445,0.169750,0.076367,0.049826
